序号,职位,公司名称,公司地点,公司性质,薪资,学历要求,工作经验,公司规模,公司福利,发布时间
229,Java高级开发工程师,西亚优品网络科技股份有限公司,广州-天河区,民营公司,1.5-2万/月,本科,5-7年经验,10000人以上,五险一金 定期体检 专业培训,11-21
230,Java开发工程师,芜湖鼎云科技有限公司,上海-徐汇区,民营公司,1.2-1.5万/月,本科,2年经验,,五险一金 补充公积金 绩效奖金 年终奖金 股票期权 通讯补贴 餐饮补贴 交通补贴 加班补助,11-21
231,Java开发工程师,深圳市拓保软件有限公司,成都-武侯区,民营公司,1-1.6万/月,大专,3-4年经验,5000-10000人,五险一金 补充医疗保险 年终奖金 下午茶 团建 双休,11-21
232,JAVA后端开发工程师,罗致恒富人力资源（上海）有限公司,上海-徐汇区,民营公司,3-4万/月,大专,3-4年经验,,五险一金 补充医疗保险 免费班车 交通补贴,11-21
233,Java开发工程师,深圳市跟投网络服务有限公司,长沙-芙蓉区,民营公司,1.2-1.5万/月,本科,3-4年经验,150-500人,定期体检 六险一金 周末双休 专业培训 每年多次调薪 员工旅游,11-21
234,Java开发工程师,北京思路智园科技有限公司,济南-高新区,民营公司,1.5-2万/月,大专,5-7年经验,150-500人,周末双休 带薪年假 五险一金 年终奖金 定期体检 绩效奖金,11-21
235,java后端,无锡加视诚智能科技有限公司,无锡,民营公司,0.9-1.4万/月,本科,2年经验,50-150人,五险一金 绩效奖金 年终奖金 弹性工作 专业培训 餐饮补贴,11-21
236,JAVA中高级开发工程师,深圳市易聆科信息技术股份有限公司,深圳-南山区,民营公司,1.3-2.5万/月,本科,5-7年经验,150-500人,五险一金,11-21
237,JAVA工程师,普元电力发展有限公司,苏州-吴江区,民营公司,1-1.5万/月,大专,5-7年经验,150-500人,五险一金 年终奖金 绩效奖金 免费午餐 交通补贴 通讯补贴 专业培训 大小周休息 国家法定假日,11-21
238,Java开发工程师,上海悦米信息技术有限公司,上海-徐汇区,合资,1.5-2万/月,大专,3-4年经验,50-150人,弹性工作 扁平化管理 五险一金 餐饮补贴 绩效奖金 年终奖金 免费零食饮料 周末双休 交通补贴,11-21
239,Java工程师,开迈斯新能源科技有限公司,南京,合资,0.8-1.6万/月,本科,3-4年经验,150-500人,交通补贴 餐饮补贴 通讯补贴 专业培训 弹性工作 保险 五险一金,11-21
240,Java开发工程师,浙江慧合国际物流有限公司武汉分公司,武汉-洪山区,民营公司,5-9千/月,大专,1年经验,150-500人,带薪年假 住房补贴 专业培训 加班补贴 绩效奖金 全勤奖,11-21
241,Java高级开发工程师,上海畅圣计算机科技有限公司,上海-杨浦区,民营公司,1.5-2万/月,本科,3-4年经验,150-500人,五险一金 绩效奖金 周末双休,11-21
242,Java,伽杰信息科技（上海）有限公司,上海,民营公司,6-8千/月,本科,1年经验,少于50人,,11-21
243,Java开发工程师-TJ-GZ,北京华付信息有限公司,广州-越秀区,民营公司,1.8-2.5万/月,本科,5-7年经验,50-150人,五险一金 年终奖金 年底双薪 节日福利,11-21
244,Java开发工程师,深圳市顺丰同城物流有限公司,上海,民营公司,1.5-3万/月,本科,3-4年经验,500-1000人,五险一金 免费班车 餐饮补贴 年终奖金,11-21
245,Java开发工程师,北京中泰创安科技有限公司,北京-海淀区,民营公司,0.8-1.5万/月,大专,1年经验,,周末双休,11-21
246,Java开发工程师,深圳市天上昀科技有限公司,珠海-香洲区,民营公司,1.2-1.8万/月,大专,3-4年经验,少于50人,五险一金 员工旅游 餐饮补贴 弹性工作 定期体检,11-21
247,JAVA开发,中恒（南京）云科技有限公司杭州分公司,杭州-钱塘区,民营公司,0.8-1.6万/月,本科,无需经验,,五险 绩效奖金 年终奖金 弹性工作 专业培训 员工旅游,11-21
248,资深java开发工程师（15薪),杭州禾尧信息科技有限公司,杭州-西湖区,民营公司,1.8-3.5万/月,本科,3-4年经验,少于50人,五险一金 年终奖金 员工旅游 定期体检 专业培训 绩效奖金 弹性工作 全额社保,11-21
249,Java开发工程师,嘉信商务管理咨询（大连）有限公司,广州,民营公司,0.8-1.5万/月,本科,2年经验,,,11-21
250,Java后端开发工程师,上海茂碧信息科技有限公司,上海,民营公司,1.5-2.5万/月,本科,2年经验,50-150人,五险一金 交通补贴 餐饮补贴 员工旅游,11-21
251,Java开发工程师,深圳爱换电科技有限公司,深圳-南山区,民营公司,1-1.5万/月,本科,2年经验,5000-10000人,五险一金 补充医疗保险 补充公积金 员工旅游 专业培训 通讯补贴 交通补贴 绩效奖金 年终奖金 股票期权,11-21
252,Java开发工程师,四川卓安律师事务所,成都,民营公司,7-8千/月,大专,2年经验,50-150人,周末双休 带薪年假 全勤奖 节日福利 餐饮补贴 五险 绩效奖金,11-21
253,Java开发工程师,江苏润和软件股份有限公司,珠海-香洲区,民营公司,1-1.5万/月,大专,2年经验,5000-10000人,五险一金 专业培训 绩效奖金 十三薪,11-21
254,Java高级开发工程师,广州源康健信息科技有限公司,广州-天河区,民营公司,1.5-2万/月,大专,3-4年经验,,,11-21
255,Java软件工程师,深圳市天河星供应链有限公司,深圳-南山区,民营公司,0.8-1.5万/月,本科,2年经验,500-1000人,五险一金 员工旅游 年终奖金 绩效奖金 满勤奖 周末双休 过节费 带薪年假,11-21
256,java开发工程师(无锡)(J10259),善诚科技发展（上海）有限公司无锡分公司,无锡-无锡新区,外资（非欧美）,0.8-1万/月,本科,2年经验,150-500人,交通补贴 专业培训 五险一金 补充医疗保险 年终奖金 出国机会,11-21
257,初中高级java开发工程师(出差兰州),高伟达软件股份有限公司,成都-高新区,上市公司,1-1.8万/月,本科,无需经验,1000-5000人,,11-21
258,Java开发工程师(初级）,重庆南地科技开发有限公司,重庆-渝北区,民营公司,4-5千/月,大专,1年经验,50-150人,五险一金 绩效奖金 年终奖金 节日福利 带薪年假 员工培训,11-21
259,Java架构师,厦门职行力信息科技有限公司,厦门-思明区,民营公司,1.8-2.5万/月,大专,5-7年经验,150-500人,五险一金 弹性工作 年终奖金 节假日福利,11-21
260,月薪20K Java开发工程师（双休）,蓝熙集团,武汉-汉阳区,民营公司,1.5-2万/月,大专,3-4年经验,500-1000人,弹性工作 带薪年假 五险一金 绩效奖金 节日福利 专业培训 交通补贴 全勤奖,11-21
261,Java开发工程师,北京品诺优创科技有限公司,北京-朝阳区,民营公司,1-1.3万/月,本科,3-4年经验,500-1000人,,11-21
262,JAVA后端开发工程师,天津乐聆康养科技有限公司,天津-和平区,民营公司,6-8千/月,本科,1年经验,,五险一金 绩效奖金,11-21
263,JAVA开发工程师-北京,易谷网络科技股份有限公司,北京-昌平区,民营公司,1.3-2万/月,本科,3-4年经验,150-500人,五险一金 通讯补贴 年终奖金 交通补贴 餐饮补贴 定期体检 每年调薪 节日福利 上升空间 15薪/年,11-21
264,JAVA开发（接口开发）,天瑞康健（福州）信息科技有限公司,长沙-岳麓区,民营公司,0.8-1.5万/月,本科,1年经验,50-150人,五险一金 年终奖金 通讯补贴 绩效奖金,11-21
265,Java开发工程师,山东赛顺电子科技有限公司,济南-历城区,民营公司,0.8-1.5万/月,本科,1年经验,,,11-21
266,Java开发工程师,广州市华粤行仪器有限公司,广州-番禺区,民营公司,0.8-1.5万/月,本科,2年经验,500-1000人,五险一金 餐饮补贴 专业培训 绩效奖金 年终奖金 年度调薪 通讯补贴 交通补贴 弹性工作,11-21
267,Java开发工程师,深圳印智互联信息技术有限公司,深圳-宝安区,民营公司,1.5-2万/月,大专,3-4年经验,50-150人,五险一金 周末双休 带薪年假 绩效奖金 节日福利 专业培训 生日会 免费下午茶 法定假期,11-21
268,Java开发工程师(供应链方向),南京卡佩希网络科技有限公司,南京-江宁区,民营公司,1.2-2.2万/月,本科,3-4年经验,500-1000人,加班补贴 全勤奖 年终奖金 节日福利 专业培训 六险一金,11-21
269,初级JAVA开发工程师（外汇岗位）,上海向普科技有限公司,上海-浦东新区,民营公司,0.8-1.5万/月,大专,2年经验,150-500人,五险一金 专业培训 定期体检 绩效奖金 试用期全薪 交通补贴 餐饮补贴 员工旅游,11-21
270,Java中级开发工程师,上海哲锦信息科技有限公司,北京,民营公司,1.5-2万/月,大专,3-4年经验,少于50人,五险一金 餐饮补贴,11-21
271,Java全栈,成都熙恩网络科技有限公司,成都-武侯区,民营公司,1.5-2万/月,大专,3-4年经验,150-500人,五险一金 绩效奖金 年终奖金,11-21
272,Java开发工程师（驻场SAP Labs）,汉堂软件工程（上海）有限公司,上海-浦东新区,民营公司,1.5-1.7万/月,大专,3-4年经验,150-500人,周末双休 五险一金 弹性工作 餐饮补贴 年终奖金,11-21
273,Java高级开发工程师,九恒星（武汉）信息技术有限公司,武汉-武汉经济开发区,上市公司,1.3-1.8万/月,本科,5-7年经验,500-1000人,五险一金 通讯补贴 餐饮补贴 年终奖金 定期体检 高额社保 高额公积金,11-21
274,java后端开发,龙兴（杭州）航空电子有限公司,杭州-萧山区,合资,1-1.5万/月,本科,3-4年经验,50-150人,五险一金 交通补贴 通讯补贴 绩效奖金 年终奖金 定期体检 出国机会 员工旅游,11-21
275,Java开发工程师-上市公司,深圳市赢时胜信息技术股份有限公司北京分公司,北京-东城区,上市公司,1-1.5万/月,本科,2年经验,1000-5000人,,11-21
276,Java前端开发工程师,南京艮众信息科技有限公司,无锡,民营公司,0.8-1万/月,大专,2年经验,50-150人,五险一金 年终奖金 绩效奖金 定期体检 员工旅游,11-21
277,智慧金融-软件开发工程师（Java）-能211119,昆仑数智科技有限责任公司,北京-西城区,国企,2-4万/月,本科,5-7年经验,1000-5000人,五险一金 补充医疗保险 交通补贴 餐饮补贴 通讯补贴 专业培训 绩效奖金 年终奖金 定期体检 弹性工作,11-21
278,Java开发工程师,广东新视野信息科技股份有限公司,深圳-南山区,民营公司,1.5-2.5万/月,本科,3-4年经验,少于50人,五险一金 年终奖金 绩效奖金 员工旅游 定期体检,11-21
279,Java开发工程师,天津盛夏信息技术有限公司,天津-西青区,民营公司,0.8-1万/月,大专,2年经验,少于50人,五险一金 弹性工作 带薪年假 周末双休 加班补贴,11-21
280,C# 或JAVA高级程序员,辽宁中新自动控制集团股份有限公司,沈阳,上市公司,1-1.2万/月,本科,3-4年经验,150-500人,五险一金 员工旅游 绩效奖金 午餐 周末双休,11-21
281,中高级JAVA开发工程师（JR19ghk）(J12996),北京东方国信科技股份有限公司,长沙-开福区,上市公司,1.2-2万/月,本科,2年经验,5000-10000人,五险一金 年终奖金 定期体检 专业培训,11-21
282,Java开发工程师,博彦科技广州有限公司,海口-秀英区,民营公司,0.5-1万/月,大专,2年经验,,五险一金 年终奖金 周末双休 带薪年假 节日福利,11-21
283,Java高级开发工程师(前端）,杭州联仕企业管理咨询有限公司,杭州-拱墅区,民营公司,2-2.5万/月,本科,3-4年经验,50-150人,五险一金 绩效奖金 年终奖金 周末双休 带薪年假 节日福利,11-21
284,Java中级开发工程师,南京智芯微处理器科技有限公司,南京,民营公司,1-2万/月,本科,5-7年经验,50-150人,五险一金 员工旅游 专业培训 通讯补贴 餐饮补贴 交通补贴 绩效奖金 弹性工作 年终奖金,11-21
285,Java高级开发工程师,上海巧厨商贸有限公司,上海-松江区,民营公司,1.5-2.5万/月,大专,3-4年经验,500-1000人,五险一金 员工旅游 年终奖金 餐饮补贴 定期体检,11-21
286,Java开发工程师(南京),上海竞动科技有限公司,南京-建邺区,民营公司,1.2-1.6万/月,大专,3-4年经验,50-150人,五险一金 下午茶零食 年终奖金 绩效奖金 股票期权 弹性工作 员工旅游,11-21
287,Java高级开发工程师,北京慧辰资道资讯股份有限公司,武汉-江夏区,民营公司,1.5-2.5万/月,本科,5-7年经验,500-1000人,,11-21
288,Java开发经理,苏州信昶德科技有限公司,苏州-吴中区,民营公司,2-2.5万/月,本科,3-4年经验,少于50人,年终奖金 弹性工作 定期体检 餐饮补贴 绩效奖金 股票期权,11-21
289,Java开发工程师,上海星翰云信息科技有限公司,上海-徐汇区,民营公司,1.5-2万/月,大专,3-4年经验,500-1000人,,11-21
290,Java开发工程师,苏州大智同润物联科技有限公司,常熟,民营公司,0.8-1万/月,大专,3-4年经验,少于50人,,11-21
291,Java开发工程师,深圳鼎智达表计信息科技有限公司,深圳-南山区,民营公司,0.8-1.5万/月,大专,3-4年经验,少于50人,五险一金 弹性工作 带薪年假 节日福利,11-21
292,Java研发工程师,德圣琛（武汉）技术有限公司,武汉-东湖新技术产业开发区,民营公司,6-8千/月,大专,2年经验,少于50人,五险一金 交通补贴 餐饮补贴 周末双休 节日福利,11-21
293,Java后台开发,惠州市恒裕科技有限公司,惠州-惠阳区,民营公司,1.5-2.3万/月,本科,3-4年经验,少于50人,六险一金 节日福利 弹性工作 定期体检 员工旅游 包吃包住 交通补贴 带薪年假 下午茶 年终奖金,11-21
294,Java高级工程师/架构师,深圳自觉科技有限公司,深圳-宝安区,民营公司,2.5-4.5万/月,本科,5-7年经验,少于50人,五险一金 员工旅游 专业培训 餐饮补贴 年终奖金 股票期权 弹性工作 丰厚奖金 试用期全额 税后工资,11-21
295,Java高级开发工程师,深圳金亚太科技有限公司,深圳-南山区,民营公司,1.5-2.5万/月,大专,3-4年经验,150-500人,五险一金 餐饮补贴 定期体检 员工旅游 专业培训 弹性工作 绩效奖金 节日福利,11-21
296,Java程序员,南京中高知识产权股份有限公司,南京-浦口区,民营公司,0.6-1.2万/月,本科,3-4年经验,少于50人,五险一金 定期体检 节日福利 生日福利 不定期团建,11-21
297,Java开发工程师,江苏敏行信息技术有限公司,南京-雨花台区,民营公司,0.8-1.2万/月,本科,3-4年经验,50-150人,周末双休 带薪年假 五险一金 餐饮补贴 绩效奖金 年底双薪,11-21
298,Java初级开发工程师,江苏沃银数据服务有限公司,南京,民营公司,0.8-1.2万/月,本科,2年经验,150-500人,五险一金 带薪年假 节日福利 高温补贴,11-21
299,JAVA开发工程师,湖南强智科技发展有限公司,海口-美兰区,民营公司,0.8-1万/月,大专,2年经验,500-1000人,五险一金 员工旅游 餐饮补贴 专业培训 绩效奖金 周末双休,11-21
300,Java开发工程师（杭州）,南京讯优智超软件科技有限公司,杭州-上城区,民营公司,1-1.5万/月,大专,2年经验,50-150人,五险一金 员工旅游 交通补贴 餐饮补贴 通讯补贴 年终奖金 定期体检,11-21
301,Java高级开发工程师,武汉一步汽车服务有限公司,武汉,民营公司,1.3-1.8万/月,大专,3-4年经验,50-150人,员工旅游 弹性工作 绩效奖金 交通补贴 专业培训 住房补贴 出差补贴,11-21
302,Java开发工程师,辽宁房小二信息科技有限公司,沈阳-大东区,民营公司,0.5-1万/月,本科,5-7年经验,500-1000人,专业培训 弹性工作 员工旅游 五险 餐饮补贴,11-21
303,JAVA开发工程师（视频方向）,天讯瑞达通信技术有限公司,广州,国企,1-1.4万/月,本科,2年经验,500-1000人,五险一金 绩效奖金 年终奖金 员工旅游,11-21
304,JAVA  高级工程师,深圳市佑尔安科技有限公司,深圳-宝安区,民营公司,1.5-2万/月,大专,5-7年经验,少于50人,,11-21
305,Java高级开发工程师,武汉开道万信息技术有限公司,武汉-洪山区,民营公司,1-1.5万/月,大专,3-4年经验,少于50人,五险一金 交通补贴 餐饮补贴 绩效奖金 年终奖金 弹性工作,11-21
306,中高级Java开发,深圳市金标达管理顾问有限公司,深圳-南山区,民营公司,1.5-2万/月,本科,3-4年经验,50-150人,五险一金 专业培训 全勤奖 周末双休 年终奖金 绩效奖金 岗位晋升 员工旅游 补充医疗保险 餐饮补贴,11-21
307,Java开发工程师,河北微领网络科技有限公司,邯郸,民营公司,4-8千/月,大专,2年经验,50-150人,员工旅游 绩效奖金 年终奖金 弹性工作,11-21
308,Java开发工程师,河北鹏东电子科技有限公司,石家庄-长安区,民营公司,0.5-1万/月,大专,2年经验,50-150人,年终奖金 弹性工作 全勤奖 创业公司 五险,11-21
309,Java开发,信必优(深圳)信息技术有限公司,广州-越秀区,外资（欧美）,1.6-2万/月,本科,5-7年经验,1000-5000人,,11-21
310,Java开发工程师,苏州东安岩芯能源科技股份有限公司,昆山,民营公司,1-1.2万/月,本科,3-4年经验,50-150人,五险一金 交通补贴 餐饮补贴 员工旅游 专业培训 通讯补贴 年终奖金 绩效奖金,11-21
311,Java高级软件工程师,上海智聆信息技术有限公司,无锡-无锡新区,民营公司,1.8-2.5万/月,本科,8-9年经验,少于50人,五险一金 员工旅游 年终奖金 绩效奖金 弹性工作 定期体检,11-21
312,高薪急招java工程师,上海汉朔信息科技有限公司,上海,民营公司,1.2-2万/月,大专,无需经验,500-1000人,,11-21
313,Java软件开发,好多车联（深圳）科技有限公司,西安,民营公司,0.6-1.2万/月,本科,1年经验,,,11-21
314,Java中级开发工程师,上海媛福达贸易有限公司,上海-静安区,民营公司,1.1-2万/月,大专,3-4年经验,500-1000人,五险一金 交通补贴 餐饮补贴,11-21
315,JAVA中级开发工程师,广州芯享家信息技术有限公司,广州-天河区,民营公司,1-1.5万/月,大专,2年经验,150-500人,五险一金 周末双休 带薪年假 餐饮补贴 绩效奖金 全勤奖 包吃,11-21
316,Java程序员,深圳嘉里盐田港物流有限公司,深圳,合资,0.8-1万/月,大专,1年经验,,,11-21
317,后台开发工程师（JAVA）,上海鋆石智能科技有限公司,上海-浦东新区,民营公司,0.5-1万/月,大专,1年经验,少于50人,年终奖金 绩效奖金 包住 五险,11-21
318,Java高级开发工程师,交邦电气科技（江苏）有限公司,南京-建邺区,合资,0.8-1万/月,本科,5-7年经验,少于50人,五险一金 交通补贴 餐饮补贴 年终奖金 绩效奖金 定期体检,11-21
319,Java开发工程师(21),上海复深蓝软件股份有限公司,上海-浦东新区,上市公司,2-2.5万/月,大专,3-4年经验,1000-5000人,做五休二 五险一金 节日福利 带薪年假 专业培训 年终奖金 交通补贴,11-21
320,JAVA中级/高级开发工程师,安徽逸路安科技股份有限公司,合肥,民营公司,0.7-1.4万/月,大专,2年经验,,,11-21
321,Java开发经理,广东智硕互联科技有限公司,东莞-樟木头镇,民营公司,1.3-2万/月,本科,5-7年经验,少于50人,五险一金 年终奖金 专业培训 员工旅游,11-21
322,Java 高级开发工程师,仁弥（杭州）网络科技有限公司,杭州-萧山区,民营公司,2.5-3万/月,本科,3-4年经验,,,11-21
323,Java开发工程师,广州云链科技有限公司,武汉-汉阳区,民营公司,1.4-2.5万/月,大专,3-4年经验,150-500人,五险一金 周末双休 绩效奖金,11-21
324,Java开发工程师,恩士迅信息科技（上海）有限公司,上海-浦东新区,合资,1-1.8万/月,本科,2年经验,150-500人,,11-21
325,Java开发工程师,河北能瑞科技有限公司武汉研发中心,武汉-东西湖区,民营公司,0.7-1.1万/月,大专,2年经验,50-150人,员工旅游 年终奖金 定期体检 五险,11-21
326,Java开发工程师,武汉吉十软件有限公司,武汉-江夏区,民营公司,1-1.8万/月,大专,3-4年经验,150-500人,包吃包住 年终奖金 绩效奖金 员工旅游 五险一金 专业培训,11-21
327,Java工程师,北京燃烽医药有限责任公司,北京-丰台区,民营公司,0.8-1.3万/月,大专,2年经验,50-150人,周末双休 专业培训 做五休二 五险一金 节日福利,11-21
328,Java高级开发工程师,郑州华腾智能科技有限公司,郑州-经开区,民营公司,1-1.5万/月,大专,5-7年经验,50-150人,,11-21
329,Java高级开发工程师,上海署文网络科技有限公司,上海-浦东新区,民营公司,1.5-2.5万/月,本科,3-4年经验,少于50人,,11-21
330,Java开发工程师,浙江真游科技有限公司,杭州-拱墅区,民营公司,6-8千/月,本科,1年经验,少于50人,周末双休 五险一金 员工旅游 弹性工作 节日福利 带薪年假 定期团建 定期体检,11-21
331,Java开发工程师,湖南九云教育科技有限公司,吉安,民营公司,6-8千/月,本科,3-4年经验,150-500人,五险一金 专业培训 绩效奖金 年终奖金 周末双休 员工旅游 做五休二 带薪年假,11-21
332,JAVA开发工程师,武汉小猿科技有限公司,武汉-东湖新技术产业开发区,民营公司,0.5-1万/月,大专,2年经验,少于50人,五险一金 绩效奖金 年终奖金 弹性工作,11-21
333,Java工程师,苏州晟成光伏设备有限公司,苏州,上市公司,1-1.5万/月,本科,2年经验,500-1000人,做五休二 周末双休 带薪年假 五险一金 高温补贴 加班补贴 绩效奖金 全勤奖 节日福利,11-21
334,Java开发工程师,上海清裔钲商务咨询有限公司,上海-浦东新区,合资,1-2万/月,本科,2年经验,少于50人,五险一金 补充公积金 员工旅游 绩效奖金 年终奖金 弹性工作,11-21
335,JAVA后端开发,上海姚际信息科技有限公司,上海-徐汇区,民营公司,1.5-3万/月,本科,2年经验,,五险一金 员工旅游 绩效奖金 年终奖金 弹性工作 定期体检 定制中晚餐 免费工作餐 婚育礼金 生日红包,11-21
